Title,Runtime,ReleaseDate,Rating,DomesticTotalGross,Director,Budget
Yogi Bear,82,2010-12-17 00:00:00,PG,100246011,,80000000
Date Night,88,2010-04-09 00:00:00,PG-13,98711404,Shawn Levy,55000000
The Social Network,120,2010-10-01 00:00:00,PG-13,96962694,David Fincher,40000000
Sex and the City 2,147,2010-05-27 00:00:00,R,95347692,Michael Patrick King,100000000
The Book of Eli,118,2010-01-15 00:00:00,R,94835059,Albert HughesAllen Hughes,80000000
The Fighter,114,2010-12-10 00:00:00,R,93617009,David O. Russell,25000000
The Town,123,2010-09-17 00:00:00,R,92186262,Ben Affleck,37000000
Prince of Persia: The Sands of Time,115,2010-05-28 00:00:00,PG-13,90759676,Mike Newell,200000000
Red,111,2010-10-15 00:00:00,PG-13,90380162,Robert Schwentke,58000000
Percy Jackson & The Olympians: The Lightning Thief,120,2010-02-12 00:00:00,PG,88768303,Chris Columbus,95000000
Paranormal Activity 2,91,2010-10-22 00:00:00,R,84752907,Tod Williams,3000000
Unstoppable,98,2010-11-12 00:00:00,PG-13,81562942,Tony Scott,100000000
Eat Pray Love,133,2010-08-13 00:00:00,PG-13,80574010,Ryan Murphy,60000000
Dear John,108,2010-02-05 00:00:00,PG-13,80014842,Lasse Hallstrom,25000000
The A-Team,117,2010-06-11 00:00:00,PG-13,77222099,Joe Carnahan,110000000
Knight & Day,130,2010-06-23 00:00:00,PG-13,76423035,James Mangold,117000000
Dinner for Schmucks,110,2010-07-30 00:00:00,PG-13,73026337,Jay Roach,69000000
The Tourist,103,2010-12-10 00:00:00,PG-13,67631157,Florian Henckel von Donnersmarck,100000000
The Bounty Hunter,106,2010-03-19 00:00:00,PG-13,67061228,Andy Tennant,40000000
Diary of a Wimpy Kid,120,2010-03-19 00:00:00,PG,64003625,Thor Freudenthal,15000000
The Sorcerer's Apprentice,111,2010-07-14 00:00:00,PG,63150991,Jon Turteltaub,150000000
A Nightmare on Elm Street,90,2010-04-30 00:00:00,R,63075011,,35000000
The Last Song,107,2010-03-31 00:00:00,PG,62950384,Julie Anne Robinson,20000000
The Wolfman,102,2010-02-12 00:00:00,R,61979680,Joe Johnston,150000000
Get Him to the Greek,109,2010-06-04 00:00:00,R,60974475,Nick Stoller,40000000
